date,value
2010/1/1,258
2010/1/8,638
2010/1/15,639
2010/1/22,670
2010/1/29,572
2010/2/5,570
2010/2/12,339
2010/2/19,298
2010/2/26,342
2010/3/5,195
2010/3/12,144
2010/3/19,190
2010/3/26,129
2010/4/2,144
2010/4/9,193
2010/4/16,194
2010/4/23,153
2010/4/30,119
2010/5/7,311
2010/5/14,102
2010/5/22,85
2010/5/29,87
2010/6/5,113
2010/6/12,62
2010/6/19,42
2010/6/26,85
2010/7/3,69
2010/7/10,84
2010/7/17,93
2010/7/24,90
2010/7/31,84
2010/8/7,51
2010/8/14,34
2010/8/21,38
2010/8/28,38
2010/9/4,85
2010/9/11,51
2010/9/18,51
2010/9/25,37
2010/10/2,38
2010/10/10,52
2010/10/17,49
2010/10/24,59
2010/10/31,99
2010/11/7,93
2010/11/14,214
2010/11/21,261
2010/11/28,466
2010/12/5,522
2010/12/12,511
2010/12/19,484
2010/12/26,448
2011/1/2,409
2011/1/9,464
2011/1/16,469
2011/1/23,478
2011/1/30,429
2011/2/6,328
2011/2/13,237
2011/2/20,227
2011/2/28,274
2011/3/7,200
2011/3/14,195
2011/3/21,185
2011/3/28,180
2011/4/4,207
2011/4/11,186
2011/4/18,185
2011/4/25,287
2011/5/2,285
2011/5/9,205
2011/5/16,180
2011/5/23,182
2011/5/30,77
2011/6/6,109
2011/6/13,201
2011/6/20,197
2011/6/27,200
2011/7/4,136
2011/7/11,178
2011/7/19,124
2011/7/26,120
2011/8/2,118
2011/8/9,95
2011/8/16,48
2011/8/23,91
2011/8/30,67
2011/9/6,61
2011/9/13,62
2011/9/20,72
2011/9/27,59
2011/10/4,54
2011/10/11,66
2011/10/18,89
2011/10/25,105
2011/11/1,155
2011/11/8,174
2011/11/15,216
2011/11/22,250
2011/11/29,251
2011/12/7,230
2011/12/14,197
2011/12/21,208
2011/12/28,191
2012/1/4,209
2012/1/11,170
2012/1/18,153
2012/1/25,147
2012/2/1,132
2012/2/8,152
2012/2/15,117
2012/2/22,164
2012/2/29,130
2012/3/7,189
2012/3/14,154
2012/3/21,120
2012/3/28,123
2012/4/4,177
2012/4/11,122
2012/4/18,175
2012/4/26,168
2012/5/3,167
2012/5/10,150
2012/5/17,150
2012/5/24,165
2012/5/31,188
2012/6/7,194
2012/6/14,179
2012/6/21,184
2012/6/28,109
2012/7/5,110
2012/7/12,122
2012/7/19,132
2012/7/26,104
2012/8/2,119
2012/8/9,103
2012/8/16,90
2012/8/23,78
2012/8/30,73
2012/9/6,102
2012/9/14,72
2012/9/21,104
2012/9/28,87
2012/10/5,75
2012/10/12,88
2012/10/19,94
2012/10/26,96
2012/11/2,101
2012/11/9,129
2012/11/16,177
2012/11/23,162
2012/11/30,309
2012/12/7,231
2012/12/14,315
2012/12/21,283
2012/12/28,267
2013/1/4,347
2013/1/11,409
2013/1/18,497
2013/1/25,667
2013/2/2,641
2013/2/9,568
2013/2/16,362
2013/2/23,250
2013/3/2,318
2013/3/9,231
2013/3/16,257
2013/3/23,200
2013/3/30,246
2013/4/6,243
2013/4/13,262
2013/4/20,146
2013/4/27,171
2013/5/4,111
2013/5/11,97
2013/5/18,124
2013/5/25,138
2013/6/1,63
2013/6/8,68
2013/6/15,84
2013/6/23,94
2013/6/30,76
2013/7/7,76
2013/7/14,55
2013/7/21,78
2013/7/28,79
2013/8/4,67
2013/8/11,65
2013/8/18,75
2013/8/25,84
2013/9/1,62
2013/9/8,77
2013/9/15,75
2013/9/22,64
2013/9/29,75
2013/10/6,84
2013/10/13,79
2013/10/20,73
2013/10/27,80
2013/11/3,141
2013/11/11,169
2013/11/18,160
2013/11/25,197
2013/12/2,246
2013/12/9,265
2013/12/16,307
2013/12/23,302
2013/12/30,315
2014/1/6,311
2014/1/13,296
2014/1/20,322
2014/1/27,296
2014/2/3,258
2014/2/10,224
2014/2/17,249
2014/2/24,225
2014/3/3,192
2014/3/10,173
2014/3/17,187
2014/3/24,196
2014/4/1,216
2014/4/8,214
2014/4/15,188
2014/4/22,188
2014/4/29,215
2014/5/6,175
2014/5/13,172
2014/5/20,181
2014/5/27,177
2014/6/3,174
2014/6/10,219
2014/6/17,181
2014/6/24,191
2014/7/1,198
2014/7/8,170
2014/7/15,178
2014/7/22,159
2014/7/29,153
2014/8/5,180
2014/8/12,170
2014/8/20,157
2014/8/27,169
2014/9/3,159
2014/9/10,124
2014/9/17,147
2014/9/24,111
2014/10/1,136
2014/10/8,163
2014/10/15,214
2014/10/22,228
2014/10/29,252
2014/11/5,286
2014/11/12,302
2014/11/19,281
2014/11/26,310
2014/12/3,371
2014/12/10,415
2014/12/17,381
2014/12/24,381
2014/12/31,481
2015/1/8,405
2015/1/15,388
2015/1/22,342
2015/1/29,367
2015/2/5,341
2015/2/12,284
2015/2/19,291
2015/2/26,264
2015/3/5,227
2015/3/12,316
2015/3/19,271
2015/3/26,237
2015/4/2,215
2015/4/9,268
2015/4/16,234
2015/4/23,221
2015/4/30,296
2015/5/7,210
2015/5/14,263
2015/5/21,309
2015/5/29,293
2015/6/5,327
2015/6/12,317
2015/6/19,310
2015/6/26,348
2015/7/3,300
2015/7/10,294
2015/7/17,246
2015/7/24,319
2015/7/31,303
2015/8/7,244
2015/8/14,266
2015/8/21,267
2015/8/28,236
2015/9/4,277
2015/9/11,277
2015/9/18,284
2015/9/25,214
2015/10/2,293
2015/10/9,293
2015/10/17,340
2015/10/24,328
2015/10/31,365
2015/11/7,373
2015/11/14,391
2015/11/21,392
2015/11/28,359
2015/12/5,401
2015/12/12,423
2015/12/19,415
2015/12/26,460
2016/1/2,475
2016/1/9,470
2016/1/16,445
2016/1/23,412
2016/1/30,477
2016/2/6,410
2016/2/13,443
2016/2/20,517
2016/2/27,514
2016/3/6,499
2016/3/13,438
2016/3/20,420
2016/3/27,449
2016/4/3,504
2016/4/10,400
2016/4/17,378
2016/4/24,274
2016/5/1,360
2016/5/8,269
2016/5/15,312
