date,value
2016/1/1,69.65493885
2016/1/8,114.0311757
2016/1/15,122.9915379
2016/1/22,158.9427867
2016/1/29,111.635487
2016/2/5,110.2488327
2016/2/12,157.4397767
2016/2/19,210.4335395
2016/2/26,253.4240598
2016/3/4,331.3841184
2016/3/11,316.4273836
2016/3/18,185.423281
2016/3/25,79.63859969
2016/4/1,64.50596118
2016/4/8,58.72772349
2016/4/15,57.86006717
2016/4/22,36.14481241
2016/4/29,27.41790048
2016/5/6,23.99693801
2016/5/13,44.41308841
2016/5/21,26.49081582
2016/5/28,21.5770019
2016/6/4,19.70585082
2016/6/11,26.20610794
2016/6/18,27.36138263
2016/6/25,28.37630209
2016/7/2,17.46521164
2016/7/9,23.87021697
2016/7/16,28.53725966
2016/7/23,13.91642981
2016/7/30,12.09246311
2016/8/6,16.46256576
2016/8/13,19.4285168
2016/8/20,23.87829182
2016/8/27,14.38906198
2016/9/3,13.16524911
2016/9/10,29.10718997
2016/9/17,38.91080382
2016/9/24,22.07062842
2016/10/1,23.93525309
2016/10/9,45.7325523
2016/10/16,58.02009804
2016/10/23,37.46168063
2016/10/30,40.3005316
2016/11/6,71.42647487
2016/11/13,89.56974082
2016/11/20,97.19848688
2016/11/27,122.7625412
2016/12/4,113.7960556
2016/12/11,144.3718621
2016/12/18,133.779727
2016/12/25,114.1287
2017/1/1,109.447895
2017/1/8,127.7344308
2017/1/15,71.40224347
2017/1/22,42.76798444
2017/1/29,36.98517536
2017/2/5,46.75959459
2017/2/12,75.36246073
2017/2/19,85.35944856
2017/2/27,52.27058833
2017/3/6,52.41310608
2017/3/13,72.65243428
2017/3/20,48.16115299
2017/3/27,39.96652519
2017/4/3,34.99881293
2017/4/10,52.23703786
2017/4/17,67.56846441
2017/4/24,34.46396998
2017/5/1,34.02349034
2017/5/8,42.70593067
2017/5/15,56.42196123
2017/5/22,33.91799099
2017/5/29,27.69175402
2017/6/5,27.29547974
2017/6/12,33.10346512
2017/6/19,32.41875266
2017/6/26,8.611327417
2017/7/3,10.88195566
2017/7/10,16.70590295
2017/7/18,17.68125608
2017/7/25,13.38356663
2017/8/1,14.22141983
2017/8/8,15.56549858
2017/8/15,21.5780967
2017/8/22,19.66606388
2017/8/29,21.89022458
2017/9/5,22.49158758
2017/9/12,30.34297059
2017/9/19,54.71326206
2017/9/26,20.36970416
2017/10/3,22.86499642
2017/10/10,50.24228069
2017/10/17,56.97113308
2017/10/24,72.33175112
2017/10/31,70.47343007
2017/11/7,66.68628128
2017/11/14,70.96776866
2017/11/21,128.9992051
2017/11/28,135.7604388
2017/12/6,164.6859564
2017/12/13,212.4685049
2017/12/20,286.8684546
2017/12/27,306.5002838
2018/1/3,236.5766754
2018/1/10,230.5250061
2018/1/17,203.412126
2018/1/24,134.860237
2018/1/31,104.7994993
2018/2/7,28.02079476
2018/2/14,25.97831562
2018/2/21,88.31507422
2018/2/28,73.48872783
2018/3/7,73.29762489
2018/3/14,92.73537245
2018/3/21,91.06350826
2018/3/28,43.97509366
2018/4/4,43.81127148
2018/4/11,37.60204958
2018/4/18,40.39009581
2018/4/26,34.91515765
2018/5/3,32.5634596
2018/5/10,33.87566273
2018/5/17,37.9916532
2018/5/24,46.1129869
2018/5/31,29.51604495
2018/6/7,29.36473022
2018/6/14,35.8083526
2018/6/21,47.05325543
2018/6/28,26.22961477
2018/7/5,26.20800697
2018/7/12,21.29443831
2018/7/19,18.52949295
2018/7/26,19.70836151
2018/8/2,21.17551947
2018/8/9,20.57337427
2018/8/16,21.6559861
2018/8/23,29.57490918
2018/8/30,23.35910152
2018/9/6,32.44304823
2018/9/14,33.76272597
2018/9/21,40.49201488
2018/9/28,28.48791297
2018/10/5,30.1259222
2018/10/12,37.09657382
2018/10/19,33.91487307
2018/10/26,80.4669267
2018/11/2,85.10858517
2018/11/9,101.7891658
2018/11/16,121.0829168
2018/11/23,130.8403862
2018/11/30,119.3822698
2018/12/7,112.3293153
2018/12/14,173.1458
2018/12/21,138.9615747
2018/12/28,144.8841012
2019/1/4,139.4872952
2019/1/11,178.8785264
2019/1/18,275.2837259
2019/1/25,233.4844417
2019/2/2,132.0733755
2019/2/9,133.4194356
2019/2/16,219.1139992
2019/2/23,221.0385903
2019/3/2,270.6781811
2019/3/9,323.3000345
2019/3/16,338.1490991
2019/3/23,364.8605823
2019/3/30,250.9918983
2019/4/6,223.8556722
2019/4/13,200.230839
2019/4/20,165.1156521
2019/4/27,72.62729102
2019/5/4,61.23800573
2019/5/11,61.26455531
2019/5/18,65.28333494
2019/5/25,59.7588103
2019/6/1,27.13033692
2019/6/8,28.25122995
2019/6/15,54.33300237
2019/6/23,59.03479323
2019/6/30,34.30702868
2019/7/7,26.2646343
2019/7/14,32.47060665
2019/7/21,30.71668601
2019/7/28,27.35567863
2019/8/4,26.26568275
2019/8/11,32.14226948
2019/8/18,22.87763896
2019/8/25,28.63159053
2019/9/1,31.26418601
2019/9/8,24.56304645
2019/9/15,37.75336701
2019/9/22,50.25888689
2019/9/29,11.89054778
2019/10/6,71.34484348
2019/10/13,53.39758379
2019/10/20,85.29650545
2019/10/27,93.62341034
2019/11/3,99.34849598
2019/11/11,108.1319828
2019/11/18,131.6699836
2019/11/25,144.4153619
2019/12/2,179.2715574
2019/12/9,224.602481
2019/12/16,351.2198457
2019/12/23,371.4288425
2019/12/30,416.3816986
2020/1/6,407.5201488
2020/1/13,321.7413591
2020/1/20,178.5856348
2020/1/27,105.0437608
2020/2/3,80.18301574
2020/2/10,47.10560701
2020/2/17,52.18962884
2020/2/24,46.33376151
2020/3/2,36.82034511
2020/3/9,32.8153674
2020/3/16,38.55424131
2020/3/23,43.6282449
2020/3/31,26.50999126
2020/4/7,29.62573273
2020/4/14,37.11947039
2020/4/21,39.4818132
2020/4/28,32.59296814
2020/5/5,29.51900081
2020/5/12,32.81562855
2020/5/19,53.38712757
2020/5/26,41.92632334
2020/6/2,39.66358503
2020/6/9,38.28281561
2020/6/16,45.32983821
2020/6/23,36.1749466
2020/6/30,31.41760426
2020/7/7,22.90357611
2020/7/14,31.96718196
2020/7/21,24.16002225
2020/7/28,27.51343851
2020/8/4,24.08177302
2020/8/11,28.73102132
2020/8/19,27.10137295
2020/8/26,27.34365382
2020/9/2,27.38501228
2020/9/9,32.2914811
2020/9/16,40.50266442
2020/9/23,38.83307959
2020/9/30,32.75030771
2020/10/7,51.41408836
2020/10/14,60.73652474
2020/10/21,87.83159502
2020/10/28,85.2962074
2020/11/4,85.13642623
2020/11/11,90.72083807
2020/11/18,86.3677702
2020/11/25,87.14790081
2020/12/2,86.49165092
2020/12/9,81.73776162
2020/12/16,79.94191281
2020/12/23,39.49964957
2020/12/30,33.98300588
