date,value
2018/5/1,24
2018/6/1,35
2018/7/1,31
2018/8/1,31
2018/9/1,31
2018/10/1,58
2018/11/1,60
2018/12/1,31
2019/1/1,28
2019/2/1,24
2019/3/1,20
2019/4/1,15
2019/5/1,11
2019/6/1,8
2019/7/1,11
2019/8/1,21
2019/9/1,30
2019/10/1,242
2019/11/1,101
2019/12/1,91
2020/1/1,66
2020/2/1,50
2020/3/1,35
2020/4/1,34
2020/5/1,34
2020/6/1,34
2020/7/1,35
2020/8/1,73
2020/9/1,805
2020/10/1,47
2020/11/1,13
2020/12/1,8
2021/1/1,8
2021/2/1,8
2021/3/1,8
2021/4/1,8
2021/5/1,8
2021/6/1,8
2021/7/1,8
2021/8/1,8
2021/9/1,8
2021/10/1,8
2021/11/1,8
2021/12/1,8
2022/1/1,8
2022/2/1,8
2022/3/1,8
2022/4/1,8
2022/5/1,12
2022/6/1,21
2022/7/1,29
2022/8/1,59
2022/9/1,41
2022/10/1,37
2022/11/1,11
2022/12/1,8
2023/1/1,18
2023/2/1,199
2023/3/1,66
2023/4/1,42
2023/5/1,13
2023/6/1,8
2023/7/1,8
2023/8/1,7
