date,value
2010/1/1,21
2010/2/1,15
2010/3/1,18
2010/4/1,32
2010/5/1,34
2010/6/1,27
2010/7/1,51
2010/8/1,45
2010/9/1,33
2010/10/1,6
2010/11/1,3
2010/12/1,2
2011/1/1,1
2011/2/1,8
2011/3/1,4
2011/4/1,2
2011/5/1,2
2011/6/1,1
2011/7/1,1
2011/8/1,2
2011/9/1,3
2011/10/1,2
2011/11/1,1
2011/12/1,3
2012/1/1,26
2012/2/1,34
2012/3/1,46
2012/4/1,12
2012/5/1,18
2012/6/1,10
2012/7/1,3
2012/8/1,0
2012/9/1,1
2012/10/1,3
2012/11/1,3
2012/12/1,1
2013/1/1,1
2013/2/1,2
2013/3/1,9
2013/4/1,9
2013/5/1,24
2013/6/1,9
2013/7/1,3
2013/8/1,6
2013/9/1,9
2013/10/1,9
2013/11/1,12
2013/12/1,31
2014/1/1,70
2014/2/1,75
2014/3/1,97
2014/4/1,50
2014/5/1,20
2014/6/1,42
2014/7/1,46
2014/8/1,7
2014/9/1,5
2014/10/1,2
2014/11/1,2
2014/12/1,5
