date,value
2007/7/2,2413
2007/8/2,2467
2007/9/2,2419
2007/10/2,3606
2007/11/2,3164
2007/12/2,4361
2008/1/2,3925
2008/2/2,3414
2008/3/2,4312
2008/4/2,2007
2008/5/2,3353
2008/6/2,3089
2008/7/2,2670
2008/8/2,2710
2008/9/2,2923
2008/10/2,2979
2008/11/2,3120
2008/12/2,4058
2009/1/2,3485
2009/2/2,3076
2009/3/2,3609
2009/4/2,2812
2009/5/2,2647
2009/6/2,3385
2009/7/2,2573
2009/8/2,3454
2009/9/2,2887
2009/10/2,2988
2009/11/2,4041
2009/12/2,3522
2010/1/2,3676
2010/2/2,3376
2010/3/2,3946
2010/4/2,3078
2010/5/2,3457
2010/6/2,2685
2010/7/2,2947
2010/8/2,3346
2010/9/2,2930
2010/10/2,3167
2010/11/2,4216
2010/12/2,3685
2011/1/2,4343
2011/2/2,2973
2011/3/2,2892
2011/4/2,2733
2011/5/2,3388
2011/6/2,2540
2011/7/2,2539
2011/8/2,3296
2011/9/2,2846
2011/10/2,3776
2011/11/2,3241
2011/12/2,3287
2012/1/2,4442
2012/2/2,3576
2012/3/2,3381
2012/4/2,3701
2012/5/2,2724
2012/6/2,2628
2012/7/2,3496
2012/8/2,2998
2012/9/2,3064
2012/10/2,3856
2012/11/2,3182
2012/12/2,4631
2013/1/2,3583
2013/2/2,3158
2013/3/2,3012
2013/4/2,3638
2013/5/2,2584
2013/6/2,2280
