date,value
2010/10/4,8
2010/11/4,9
2010/12/4,5
2011/1/4,1
2011/2/4,1
2011/3/4,0
2011/4/4,1
2011/5/4,2
2011/6/4,1
2011/7/4,0
2011/8/4,1
2011/9/4,2
2011/10/4,3
2011/11/4,7
2011/12/4,5
2012/1/4,3
2012/2/4,9
2012/3/4,5
2012/4/4,2
2012/5/4,1
2012/6/4,0
2012/7/4,0
2012/8/4,0
2012/9/4,0
2012/10/4,0
2012/11/4,2
2012/12/4,3
2013/1/4,5
2013/2/4,4
2013/3/4,2
2013/4/4,1
2013/5/4,4
2013/6/4,1
2013/7/4,1
2013/8/4,0
2013/9/4,2
2013/10/4,3
2013/11/4,5
2013/12/4,8
2014/1/4,4
2014/2/4,8
2014/3/4,11
2014/4/4,1
2014/5/4,0
2014/6/4,0
2014/7/4,0
2014/8/4,0
2014/9/4,0
2014/10/4,1
2014/11/4,1
2014/12/4,4
2015/1/4,4
2015/2/4,4
2015/3/4,8
2015/4/4,2
2015/5/4,1
2015/6/4,1
2015/7/4,0
2015/8/4,0
2015/9/4,0
2015/10/4,1
2015/11/4,8
2015/12/4,9
2016/1/4,12
2016/2/4,6
2016/3/4,1
2016/4/4,0
2016/5/4,0
2016/6/4,1
2016/7/4,0
2016/8/4,0
2016/9/4,1
2016/10/4,1
2016/11/4,1
2016/12/4,1
2017/1/4,7
2017/2/4,5
2017/3/4,8
2017/4/4,5
2017/5/4,1
2017/6/4,0
2017/7/4,1
2017/8/4,1
2017/9/4,6
2017/10/4,8
2017/11/4,6
2017/12/4,3
2018/1/4,1
2018/2/4,1
2018/3/4,1
2018/4/4,2
2018/5/4,1
2018/6/4,1
2018/7/4,1
2018/8/4,1
2018/9/4,6
2018/10/4,10
2018/11/4,4
2018/12/4,6
2019/1/4,8
2019/2/4,11
2019/3/4,3
2019/4/4,1
2019/5/4,1
2019/6/4,1
2019/7/4,0
2019/8/4,2
2019/9/4,2
