date,value
2007/7/1,14
2007/8/1,10
2007/9/1,15
2007/10/1,68
2007/11/1,143
2007/12/1,117
2008/1/1,117
2008/2/1,113
2008/3/1,54
2008/4/1,14
2008/5/1,0
2008/6/1,1
2008/7/1,1
2008/8/1,0
2008/9/1,4
2008/10/1,5
2008/11/1,45
2008/12/1,71
2009/1/1,59
2009/2/1,54
2009/3/1,63
2009/4/1,25
2009/5/1,4
2009/6/1,1
2009/7/1,0
2009/8/1,0
2009/9/1,2
2009/10/1,4
2009/11/1,17
2009/12/1,75
2010/1/1,126
2010/2/1,132
2010/3/1,92
2010/4/1,31
2010/5/1,3
2010/6/1,2
2010/7/1,0
2010/8/1,1
2010/9/1,0
2010/10/1,1
2010/11/1,22
2010/12/1,112
2011/1/1,118
2011/2/1,101
2011/3/1,118
2011/4/1,60
2011/5/1,38
2011/6/1,10
2011/7/1,3
2011/8/1,6
2011/9/1,15
2011/10/1,97
2011/11/1,236
2011/12/1,269
2012/1/1,155
2012/2/1,134
2012/3/1,84
2012/4/1,32
2012/5/1,7
2012/6/1,2
