date,value
2014/1/1,67
2014/2/1,61
2014/3/1,71
2014/4/1,36
2014/5/1,11
2014/6/1,2
2014/7/1,4
2014/8/1,7
2014/9/1,13
2014/10/1,23
2014/11/1,64
2014/12/1,108
2015/1/1,86
2015/2/1,44
2015/3/1,31
2015/4/1,17
2015/5/1,7
2015/6/1,9
2015/7/1,4
2015/8/1,4
2015/9/1,2
2015/10/1,14
2015/11/1,38
2015/12/1,99
2016/1/1,1
2016/2/1,4
2016/3/1,2
2016/4/1,1
2016/5/1,4
2016/6/1,1
2016/7/1,0
2016/8/1,0
2016/9/1,6
2016/10/1,20
2016/11/1,72
2016/12/1,99
2017/1/1,56
2017/2/1,33
2017/3/1,23
2017/4/1,5
2017/5/1,3
2017/6/1,4
2017/7/1,4
2017/8/1,11
2017/9/1,53
2017/10/1,166
2017/11/1,187
2017/12/1,200
2018/1/1,236
2018/2/1,266
2018/3/1,328
2018/4/1,135
2018/5/1,61
2018/6/1,34
2018/7/1,28
2018/8/1,65
2018/9/1,87
2018/10/1,93
2018/11/1,280
2018/12/1,529
2019/1/1,418
2019/2/1,374
2019/3/1,225
2019/4/1,46
2019/5/1,26
2019/6/1,13
2019/7/1,24
2019/8/1,21
2019/9/1,34
2019/10/1,61
2019/11/1,202
2019/12/1,452
2020/1/1,440
2020/2/1,27
2020/3/1,0
2020/4/1,0
2020/5/1,0
2020/6/1,0
2020/7/1,0
2020/8/1,4
2020/9/1,20
2020/10/1,48
2020/11/1,93
2020/12/1,163
2021/1/1,201
2021/2/1,91
2021/3/1,71
2021/4/1,165
2021/5/1,152
2021/6/1,109
2021/7/1,177
2021/8/1,78
2021/9/1,21
2021/10/1,48
2021/11/1,98
2021/12/1,119
2022/1/1,60
2022/2/1,40
2022/3/1,18
2022/4/1,10
2022/5/1,1
2022/6/1,1
