date,value
2005/1/1,63
2005/2/1,51
2005/3/1,41
2005/4/1,38
2005/5/1,19
2005/6/1,6
2005/7/1,4
2005/8/1,6
2005/9/1,9
2005/10/1,17
2005/11/1,37
2005/12/1,68
2006/1/1,104
2006/2/1,125
2006/3/1,97
2006/4/1,24
2006/5/1,13
2006/6/1,1
2006/7/1,3
2006/8/1,7
2006/9/1,23
2006/10/1,33
2006/11/1,69
2006/12/1,94
2007/1/1,114
2007/2/1,81
2007/3/1,75
2007/4/1,31
2007/5/1,12
2007/6/1,3
2007/7/1,4
2007/8/1,13
2007/9/1,20
2007/10/1,57
2007/11/1,63
2007/12/1,110
2008/1/1,80
2008/2/1,74
2008/3/1,45
2008/4/1,16
2008/5/1,6
2008/6/1,1
2008/7/1,4
2008/8/1,9
2008/9/1,17
2008/10/1,37
2008/11/1,53
2008/12/1,84
2009/1/1,113
2009/2/1,91
2009/3/1,110
2009/4/1,37
2009/5/1,7
2009/6/1,3
2009/7/1,1
2009/8/1,7
2009/9/1,19
2009/10/1,34
2009/11/1,49
2009/12/1,94
