date,value
2010/12/1,41
2011/1/1,30
2011/2/1,59
2011/3/1,34
2011/4/1,30
2011/5/1,13
2011/6/1,11
2011/7/1,1
2011/8/1,1
2011/9/1,4
2011/10/1,1
2011/11/1,22
2011/12/1,56
2012/1/1,44
2012/2/1,62
2012/3/1,39
2012/4/1,27
2012/5/1,16
2012/6/1,7
2012/7/1,1
2012/8/1,4
2012/9/1,6
2012/10/1,15
2012/11/1,17
2012/12/1,3
2013/1/1,7
2013/2/1,15
2013/3/1,25
2013/4/1,18
2013/5/1,0
2013/6/1,0
2013/7/1,0
2013/8/1,0
2013/9/1,0
2013/10/1,3
2013/11/1,0
2013/12/1,4
2014/1/1,9
2014/2/1,10
2014/3/1,20
2014/4/1,19
2014/5/1,0
2014/6/1,7
2014/7/1,0
2014/8/1,0
2014/9/1,1
2014/10/1,16
2014/11/1,62
2014/12/1,76
2015/1/1,53
2015/2/1,50
2015/3/1,9
2015/4/1,13
2015/5/1,7
2015/6/1,4
2015/7/1,4
2015/8/1,12
2015/9/1,20
2015/10/1,18
2015/11/1,34
2015/12/1,45
2016/1/1,40
2016/2/1,38
2016/3/1,15
2016/4/1,8
2016/5/1,0
2016/6/1,1
2016/7/1,14
2016/8/1,7
2016/9/1,4
2016/10/1,7
2016/11/1,31
2016/12/1,39
2017/1/1,58
2017/2/1,41
2017/3/1,45
2017/4/1,1
2017/5/1,1
