date,value
2015/1/1,42
2015/2/1,20
2015/3/1,20
2015/4/1,18
2015/5/1,5
2015/6/1,2
2015/7/1,4
2015/8/1,4
2015/9/1,7
2015/10/1,14
2015/11/1,11
2015/12/1,23
2016/1/1,36
2016/2/1,11
2016/3/1,8
2016/4/1,4
2016/5/1,9
2016/6/1,8
2016/7/1,6
2016/8/1,1
2016/9/1,5
2016/10/1,9
2016/11/1,28
2016/12/1,39
2017/1/1,29
2017/2/1,12
2017/3/1,8
2017/4/1,12
2017/5/1,14
2017/6/1,8
2017/7/1,7
2017/8/1,15
2017/9/1,26
2017/10/1,20
2017/11/1,7
2017/12/1,9
2018/1/1,5
2018/2/1,3
2018/3/1,7
2018/4/1,17
2018/5/1,26
2018/6/1,31
2018/7/1,22
2018/8/1,25
2018/9/1,13
2018/10/1,10
2018/11/1,6
2018/12/1,6
2019/1/1,41
2019/2/1,15
2019/3/1,27
2019/4/1,10
2019/5/1,8
2019/6/1,2
2019/7/1,3
2019/8/1,1
2019/9/1,1
2019/10/1,1
2019/11/1,0
2019/12/1,10
