date,value
2007/7/1,8
2007/8/1,7
2007/9/1,2
2007/10/1,21
2007/11/1,48
2007/12/1,71
2008/1/1,72
2008/2/1,22
2008/3/1,27
2008/4/1,10
2008/5/1,3
2008/6/1,1
2008/7/1,1
2008/8/1,1
2008/9/1,2
2008/10/1,17
2008/11/1,44
2008/12/1,64
2009/1/1,9
2009/2/1,27
2009/3/1,40
2009/4/1,13
2009/5/1,2
2009/6/1,2
2009/7/1,2
2009/8/1,2
2009/9/1,1
2009/10/1,1
2009/11/1,1
2009/12/1,4
2010/1/1,77
2010/2/1,11
2010/3/1,46
2010/4/1,13
2010/5/1,2
2010/6/1,1
2010/7/1,2
2010/8/1,2
2010/9/1,9
2010/10/1,4
2010/11/1,12
2010/12/1,43
2011/1/1,52
2011/2/1,21
2011/3/1,48
2011/4/1,16
2011/5/1,8
2011/6/1,3
2011/7/1,1
2011/8/1,1
2011/9/1,3
2011/10/1,5
2011/11/1,37
2011/12/1,70
2012/1/1,19
2012/2/1,38
2012/3/1,26
2012/4/1,7
2012/5/1,1
2012/6/1,2
2012/7/1,1
2012/8/1,1
2012/9/1,1
2012/10/1,2
2012/11/1,4
2012/12/1,11
2013/1/1,38
2013/2/1,27
2013/3/1,23
2013/4/1,7
2013/5/1,1
2013/6/1,1
2013/7/1,1
2013/8/1,1
2013/9/1,1
2013/10/1,3
2013/11/1,1
2013/12/1,13
2014/1/1,21
2014/2/1,7
2014/3/1,7
2014/4/1,15
2014/5/1,5
2014/6/1,3
2014/7/1,1
2014/8/1,1
2014/9/1,1
2014/10/1,6
2014/11/1,10
2014/12/1,11
2015/1/1,13
2015/2/1,2
2015/3/1,3
2015/4/1,2
2015/5/1,1
2015/6/1,3
